Result: _result
Table: keys: [_start, _stop, _field, _measurement, code, owner]
                   _start:time                      _stop:time           _field:string     _measurement:string             code:string            owner:string                      _time:time                  _value:float
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-03T19:28:58.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-03T20:28:57.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-03T21:28:58.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-03T22:28:58.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-04T00:28:58.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-04T01:28:58.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-04T03:28:59.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-04T04:28:59.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-04T06:29:06.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-04T07:29:06.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-04T08:29:05.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-04T09:29:06.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-04T10:29:06.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-04T11:29:05.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-04T12:29:06.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-04T13:29:07.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-04T14:29:07.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-04T16:29:07.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-04T17:29:07.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-04T18:29:06.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-04T19:29:07.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-04T20:29:07.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-04T21:29:06.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-04T22:29:08.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-04T23:29:08.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-05T00:29:12.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-05T02:29:13.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-05T03:29:12.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-05T04:29:12.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-05T05:29:14.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-05T06:29:14.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-05T07:29:14.000000000Z                     16.580812
2023-07-15T15:17:29.713773853Z  2023-10-23T15:17:29.713773853Z                       X                   co_8h                   BBMLA                  SMBrno  2023-08-05T08:29:14.000000000Z                     16.580812
