X,Y,isinactive,lng,laststopid,vtype,bearing,globalid,lineid,ltype,routeid,delay,course,linename,lf,id,lastupdate,lat,finalstopid,objectid
16.087652,48.850513,false,16.087652,18107,4,225,{DE873C34-5AD0-4A44-9EFE-1FB6906957D7},803,4,81,1,80304,803,true,21317,2023/09/29 16:54:49.292+00,48.850513,18106,2988183504
16.548332,49.21944,false,16.548332,1633,0,270,{2703C0E4-FCE3-4D8F-BD0D-384FC3632A83},3,0,5211,1,00313,3,false,1653,2023/09/29 16:54:49.292+00,49.21944,1537,2988183505
16.052616,48.85294,false,16.052616,18010,4,270,{1723D9A2-71C0-467D-AFA2-C2169C278F64},806,4,27,3,80702,806,true,21046,2023/09/29 16:54:49.292+00,48.85294,18063,2988183506
16.816813,48.897827,false,16.816813,15528,4,90,{AAADBD2E-109F-4B86-A2FA-3A8555DF1D66},551,4,112,0,55001,551,true,21094,2023/09/29 16:54:49.293+00,48.897827,15528,2988183507
16.637915,49.201172,false,16.637915,1313,0,90,{18F10821-7C63-4BE1-8B72-4E053547AFF4},3,0,5218,0,00306,3,true,1947,2023/09/29 16:54:49.293+00,49.201172,1611,2988183508
16.646109,49.353962,false,16.646109,12342,4,315,{3F74DD04-94AF-43B3-B43A-8004E75547FA},222,4,29,0,22302,222,true,21709,2023/09/29 16:54:49.293+00,49.353962,12399,2988183509
16.630501,49.288589,false,16.630501,1707,2,0,{7CBA4F02-638A-4DBE-8213-E20C18DF6589},57,2,5188,0,05713,57,true,7018,2023/09/29 16:54:49.291+00,49.288589,1707,2988183510
16.581966,49.202221,false,16.581966,1371,0,315,{A6D267A9-4A3F-4029-9CBF-9059AC6C78B8},4,0,5218,0,00420,4,true,1728,2023/09/29 16:54:49.291+00,49.202221,1668,2988183511
17.12286,49.016346,false,17.12286,16650,5,45,{9AFDFCAB-3624-4E01-9216-3B1BB972A96F},146,5,4180,0,14683,S6,false,30059,2023/09/29 16:54:49.292+00,49.016346,16650,2988183512
16.353845,48.991811,false,16.353845,14490,5,180,{4BBC28BC-0FFF-4C46-89E8-4B9C66B26378},141,5,4448,6,14137,S41,false,30127,2023/09/29 16:54:49.291+00,48.991811,24501,2988183513
16.571959,49.547134,false,16.571959,12707,4,270,{07B19E5B-D889-4FAE-A13B-949C492B6646},273,4,15,3,27301,273,true,21058,2023/09/29 16:54:49.296+00,49.547134,12935,2988183514
16.585726,49.221622,false,16.585726,1777,1,45,{35CC089A-215E-4CEE-9CF0-92E9781D511B},30,1,5151,2,03001,30,true,3066,2023/09/29 16:54:49.296+00,49.221622,1286,2988183515
16.642807,49.194744,false,16.642807,1048,2,45,{56A542D0-BCC4-4CBB-8508-323A873A3B07},64,2,1098,0,06409,64,true,7678,2023/09/29 16:54:49.296+00,49.194744,1071,2988183516
16.61246,49.190652,false,16.61246,1146,5,-1,{EA5810D7-B359-446D-831A-6FFD07383FCC},135,5,829,0,13503,R13,true,30094,2023/09/29 16:54:49.284+00,49.190652,19001,2988183517
16.051346,48.860165,false,16.051346,18011,4,135,{F3BE5517-6C35-4091-91C0-FC40A783D298},813,4,42,0,81401,813,true,21152,2023/09/29 16:54:49.292+00,48.860165,18009,2988183518
16.76404,49.141129,false,16.76404,16143,4,90,{673A590F-3318-4158-8BEB-109AAC2A30C2},48,2,54,0,04842,48,true,21472,2023/09/29 16:54:49.292+00,49.141129,1716,2988183519
16.131262,49.557533,false,16.131262,23801,5,315,{E323ADA8-8F9D-43D2-8ED2-3D256DF8B939},131,5,14912,8,13101,S31,true,30042,2023/09/29 16:54:49.296+00,49.557533,23801,2988183520
16.672575,49.204231,false,16.672575,1162,2,270,{4F8DF7EF-D65E-4FCD-A01F-238CFA5312BD},55,2,1098,2,05507,55,true,7044,2023/09/29 16:54:49.296+00,49.204231,1809,2988183521
16.603523,49.197021,false,16.603523,1637,0,0,{8C6CA0CA-761B-4293-B33D-42C22AA72166},6,0,5214,3,00603,6,false,1613,2023/09/29 16:54:49.297+00,49.197021,1286,2988183522
16.609756,49.210026,false,16.609756,1793,1,225,{688BD891-BA56-4372-AC61-9AD0A0270F9B},26,1,5130,0,02507,26,true,3632,2023/09/29 16:54:49.297+00,49.210026,1223,2988183523
16.692089,49.0895,false,16.692089,15128,4,315,{75538751-D520-4722-9C79-E1561BE6B34A},509,4,48,1,50903,509,false,21976,2023/09/29 16:54:49.297+00,49.0895,1187,2988183524
16.585384,49.513383,false,16.585384,22602,5,0,{3E583FE4-B7C6-4C43-8586-3534E95B70C5},120,5,24528,0,12010,S2,true,30096,2023/09/29 16:54:49.297+00,49.513383,12736,2988183525
16.5958,49.230728,false,16.5958,1286,2,45,{30E27613-E926-42DE-BE43-5B1A5D9299C0},72,2,5098,0,07212,72,true,2657,2023/09/29 16:54:49.292+00,49.230728,1659,2988183526
16.737291,49.254425,false,16.737291,12107,4,225,{9E3588A5-5A90-42BC-9334-EC05DE525C73},210,4,58,0,21002,210,true,21924,2023/09/29 16:54:49.292+00,49.254425,12158,2988183527
16.53204,49.195679,false,16.53204,1017,2,315,{ABEA344A-9027-4E2F-B733-3B4BA0402F0E},50,2,5100,0,05010,50,true,2662,2023/09/29 16:54:49.298+00,49.195679,1796,2988183528
17.072479,48.841385,false,17.072479,19117,4,45,{58BE1006-8EC0-4B74-A668-8414E1B03441},556,4,134,0,91105,556,true,21951,2023/09/29 16:54:49.297+00,48.841385,19001,2988183529
16.594181,49.188396,false,16.594181,1721,0,180,{4345BE76-64C7-49AE-8A65-59162A441E55},7,0,5099,1,00916,7,true,1915,2023/09/29 16:54:49.285+00,49.188396,1616,2988183530
16.645988,49.198341,false,16.645988,1113,2,0,{60A003DF-714A-4474-A27D-7C0E30C96D33},78,2,1102,4,07803,78,true,2020,2023/09/29 16:54:49.285+00,49.198341,1809,2988183531
16.881824,48.759209,false,16.881824,15736,4,90,{31B20A6D-4E9E-4EA0-8296-C36DC9089F79},570,4,41,11,57002,570,true,21253,2023/09/29 16:54:49.285+00,48.759209,15729,2988183532
16.520981,49.168873,false,16.520981,1161,2,225,{ED60EDEE-6838-4709-B869-9E96E3D877FC},51,2,1016,0,05102,51,true,7701,2023/09/29 16:54:49.285+00,49.168873,1796,2988183533
16.556795,49.209553,false,16.556795,1214,1,45,{6CDF0AE6-43D7-4978-B9BC-FC18F3C8006F},26,1,5903,1,02525,26,true,3663,2023/09/29 16:54:49.285+00,49.209553,1217,2988183534
