#group,false,false,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,
,result,table,_time,_value,_field,_measurement,code,owner
,,0,2023-08-06T15:29:18Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-06T16:29:18Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-06T17:29:18Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-06T18:29:18Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-06T19:29:18Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-06T20:29:19Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-06T21:29:19Z,250,value,co_8h,BBMLA,SMBrno
,,0,2023-08-06T22:29:18Z,250,value,co_8h,BBMLA,SMBrno
,,0,2023-08-06T23:29:19Z,248,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T00:29:19Z,250,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T01:29:20Z,248,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T02:29:20Z,250,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T03:29:20Z,248,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T04:29:20Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T05:29:20Z,218,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T06:29:20Z,216,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T07:29:20Z,214,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T08:29:20Z,204,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T09:29:20Z,189,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T10:29:20Z,183,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T10:30:48Z,183,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T11:30:47Z,189,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T12:30:48Z,204,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T13:30:48Z,204,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T14:30:47Z,204,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T15:30:48Z,200,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T16:30:48Z,216,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T17:30:47Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T19:30:48Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T20:30:48Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T21:30:48Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T22:30:49Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-07T23:30:48Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-08T00:30:48Z,233,value,co_8h,BBMLA,SMBrno
,,0,2023-08-08T01:30:49Z,204,value,co_8h,BBMLA,SMBrno
,,0,2023-08-08T02:30:48Z,200,value,co_8h,BBMLA,SMBrno
,,0,2023-08-08T04:30:49Z,183,value,co_8h,BBMLA,SMBrno
